time,open,high,low,close,volume
2020-01-01 21:00:00,7200.77,7212.50,6924.74,6965.71,31951
2020-01-02 21:00:00,6965.49,7405.00,6871.04,7344.96,68429
2020-01-03 21:00:00,7345.00,7404.00,7272.21,7354.11,29988
2020-01-04 21:00:00,7354.19,7495.00,7318.00,7358.75,38331
2020-01-05 21:00:00,7357.64,7795.34,7346.76,7758.00,54636
2020-01-06 21:00:00,7758.90,8207.68,7723.71,8145.28,91172
2020-01-07 21:00:00,8145.92,8455.00,7870.00,8055.98,112623
2020-01-08 21:00:00,8054.72,8055.96,7750.00,7817.76,64240
2020-01-09 21:00:00,7817.74,8199.00,7672.00,8197.02,82407
2020-01-10 21:00:00,8198.86,8286.34,8003.16,8020.01,54810
2020-01-11 21:00:00,8020.01,8197.00,7960.00,8184.98,38131
2020-01-12 21:00:00,8184.97,8196.00,8055.89,8110.34,31160
2020-01-13 21:00:00,8110.34,8880.00,8105.54,8810.01,120399
2020-01-14 21:00:00,8814.64,8916.48,8564.00,8821.41,84816
2020-01-15 21:00:00,8820.01,8859.81,8586.00,8720.01,51991
2020-01-16 21:00:00,8720.15,9041.65,8672.44,8913.28,70898
2020-01-17 21:00:00,8913.27,8988.88,8806.38,8915.96,38295
2020-01-18 21:00:00,8915.09,9198.98,8466.00,8701.70,70677
2020-01-19 21:00:00,8701.72,8746.99,8521.28,8642.35,38897
2020-01-20 21:00:00,8642.35,8789.00,8488.00,8736.03,36495
2020-01-21 21:00:00,8736.04,8818.00,8590.00,8682.36,29081
2020-01-22 21:00:00,8682.77,8691.81,8306.39,8404.52,48166
2020-01-23 21:00:00,8404.52,8528.02,8238.00,8439.00,41688
2020-01-24 21:00:00,8438.99,8451.26,8254.90,8340.58,25521
2020-01-25 21:00:00,8340.01,8618.13,8293.66,8615.00,31130
2020-01-26 21:00:00,8614.39,9000.00,8535.00,8907.57,53974
2020-01-27 21:00:00,8907.57,9400.00,8862.40,9374.21,74585
2020-01-28 21:00:00,9375.34,9449.24,9216.00,9301.53,53864
2020-01-29 21:00:00,9301.57,9578.00,9204.44,9513.21,60627
2020-01-30 21:00:00,9511.52,9530.22,9210.01,9352.89,45552
2020-01-31 21:00:00,9351.71,9464.53,9281.00,9384.61,28578
2020-02-01 21:00:00,9384.41,9477.03,9120.00,9331.51,45691
2020-02-02 21:00:00,9331.59,9618.79,9234.00,9292.24,50892
2020-02-03 21:00:00,9291.35,9350.00,9093.01,9197.02,53308
2020-02-04 21:00:00,9197.02,9744.45,9177.22,9612.04,64870
2020-02-05 21:00:00,9612.03,9862.57,9526.35,9772.00,64950
2020-02-06 21:00:00,9772.00,9885.00,9730.00,9813.73,43966
2020-02-07 21:00:00,9813.87,9940.00,9667.11,9895.05,43601
2020-02-08 21:00:00,9895.04,10166.00,9880.75,10151.75,43408
2020-02-09 21:00:00,10151.72,10188.00,9756.00,9851.83,59573
2020-02-10 21:00:00,9851.74,10323.59,9700.00,10223.08,62422
2020-02-11 21:00:00,10223.08,10450.00,10223.08,10326.46,61008
2020-02-12 21:00:00,10325.33,10500.00,10080.00,10229.63,79344
2020-02-13 21:00:00,10227.78,10381.56,10111.37,10344.36,47038
2020-02-14 21:00:00,10344.36,10375.00,9801.00,9904.72,57657
2020-02-15 21:00:00,9904.46,10050.00,9638.12,9917.27,60024
2020-02-16 21:00:00,9910.70,9964.16,9452.67,9706.00,70261
2020-02-17 21:00:00,9706.00,10250.00,9576.01,10164.71,70604
2020-02-18 21:00:00,10164.78,10250.00,9350.00,9593.79,55163
2020-02-19 21:00:00,9594.65,9699.00,9400.00,9596.42,60152
2020-02-20 21:00:00,9597.21,9755.51,9550.21,9677.05,42182
2020-02-21 21:00:00,9677.05,9709.17,9560.02,9650.86,24637
2020-02-22 21:00:00,9650.85,9990.00,9645.00,9936.40,37702
2020-02-23 21:00:00,9936.40,9990.00,9473.56,9656.13,55797
2020-02-24 21:00:00,9655.52,9675.00,9250.00,9315.84,54379
2020-02-25 21:00:00,9316.48,9377.44,8633.63,8785.25,92130
