time,open,high,low,close,volume
17/08/2020 21:00:00,2.09,4.44,2.00,3.10,6039882
18/08/2020 21:00:00,3.10,3.20,2.64,2.95,15895775
19/08/2020 21:00:00,2.94,3.11,2.60,2.90,11040864
20/08/2020 21:00:00,2.90,3.09,2.68,2.83,9765154
21/08/2020 21:00:00,2.84,4.55,2.78,4.45,41611477
22/08/2020 21:00:00,4.48,4.49,3.70,3.98,23845310
23/08/2020 21:00:00,3.98,4.80,3.78,4.58,25843953
24/08/2020 21:00:00,4.58,5.77,4.48,5.54,39457370
25/08/2020 21:00:00,5.54,6.57,5.10,6.07,37811520
26/08/2020 21:00:00,6.07,6.80,5.20,5.65,42626336
27/08/2020 21:00:00,5.66,6.35,5.46,6.18,24019173
28/08/2020 21:00:00,6.18,6.56,6.00,6.13,15360445
29/08/2020 21:00:00,6.13,6.25,5.70,5.89,13266536
30/08/2020 21:00:00,5.89,6.47,5.75,6.27,13564048
31/08/2020 21:00:00,6.27,6.86,6.12,6.24,16330265
01/09/2020 21:00:00,6.24,6.45,5.58,6.14,15500500
02/09/2020 21:00:00,6.14,6.33,5.55,5.67,21239868
03/09/2020 21:00:00,5.67,5.99,4.50,5.10,28314850
04/09/2020 21:00:00,5.10,5.31,3.53,4.15,32791302
05/09/2020 21:00:00,4.15,4.92,3.73,4.78,23608695
06/09/2020 21:00:00,4.78,4.84,4.00,4.59,16089614
07/09/2020 21:00:00,4.60,4.63,4.11,4.28,10449747
08/09/2020 21:00:00,4.27,4.79,4.08,4.70,11225976
09/09/2020 21:00:00,4.70,4.89,4.43,4.58,9912392
10/09/2020 21:00:00,4.58,4.75,4.31,4.65,9013005
11/09/2020 21:00:00,4.64,5.30,4.50,5.14,12566058
12/09/2020 21:00:00,5.14,5.48,4.77,5.32,16262646
13/09/2020 21:00:00,5.32,5.58,5.09,5.36,14288010
14/09/2020 21:00:00,5.36,5.45,5.01,5.05,10306445
15/09/2020 21:00:00,5.05,5.28,4.96,5.07,8102718
16/09/2020 21:00:00,5.07,5.43,5.04,5.34,10973999
17/09/2020 21:00:00,5.33,5.46,5.09,5.26,7241902
18/09/2020 21:00:00,5.26,5.26,4.79,4.92,6124417
19/09/2020 21:00:00,4.92,4.97,4.37,4.65,11400428
20/09/2020 21:00:00,4.66,4.70,3.91,4.07,18249034
21/09/2020 21:00:00,4.07,4.21,3.90,4.16,8023448
22/09/2020 21:00:00,4.16,4.32,3.94,4.01,9432617
23/09/2020 21:00:00,4.01,4.49,3.96,4.38,8363967
24/09/2020 21:00:00,4.38,4.53,4.24,4.41,6666492
25/09/2020 21:00:00,4.41,4.48,4.22,4.33,3890876
26/09/2020 21:00:00,4.33,4.36,4.12,4.30,3814327
27/09/2020 21:00:00,4.30,4.59,4.25,4.45,9835917
28/09/2020 21:00:00,4.45,4.61,4.33,4.50,7753018
29/09/2020 21:00:00,4.50,4.50,4.23,4.35,4418267
30/09/2020 21:00:00,4.35,4.59,4.23,4.35,7358247
01/10/2020 21:00:00,4.34,4.36,3.89,4.13,7748589
02/10/2020 21:00:00,4.13,4.13,4.03,4.06,3078937
03/10/2020 21:00:00,4.06,4.20,4.01,4.18,2792994
04/10/2020 21:00:00,4.17,4.25,4.11,4.16,4362181
05/10/2020 21:00:00,4.16,4.18,3.61,3.75,9256380
06/10/2020 21:00:00,3.75,3.90,3.60,3.85,8599076
