time,open,high,low,volume
2020-08-18 20:00:00,2.09000000,4.44000000,2.00000000,6039881.97000000
2020-08-18 21:00:00,3.10000000,3.14000000,2.97380000,1554670.37000000
2020-08-18 22:00:00,3.10500000,3.12990000,3.05840000,813079.44000000
2020-08-18 23:00:00,3.10820000,3.11240000,2.90000000,1472769.86000000
2020-08-19 00:00:00,2.96310000,3.00320000,2.64000000,1768853.60000000
2020-08-19 01:00:00,2.88500000,3.06800000,2.81100000,1328188.15000000
2020-08-19 02:00:00,2.93340000,3.07550000,2.87500000,798876.03000000
2020-08-19 03:00:00,2.92550000,3.04000000,2.90000000,534111.70000000
2020-08-19 04:00:00,3.00950000,3.19990000,2.99110000,1717178.18000000
2020-08-19 05:00:00,3.19500000,3.19500000,3.01000000,682238.57000000
2020-08-19 06:00:00,3.03610000,3.13000000,3.01020000,473679.67000000
2020-08-19 07:00:00,3.04970000,3.09000000,2.90000000,495485.40000000
2020-08-19 08:00:00,3.00060000,3.01000000,2.93000000,309270.07000000
2020-08-19 09:00:00,3.00000000,3.00060000,2.90000000,429332.76000000
2020-08-19 10:00:00,2.98980000,3.00780000,2.90110000,589033.02000000
2020-08-19 11:00:00,2.94310000,3.00800000,2.93530000,344814.45000000
2020-08-19 12:00:00,2.99360000,2.99360000,2.94000000,331131.03000000
2020-08-19 13:00:00,2.94250000,3.02980000,2.91670000,358252.08000000
2020-08-19 14:00:00,3.00020000,3.01810000,2.95050000,180675.59000000
2020-08-19 15:00:00,2.98300000,2.99560000,2.76220000,439835.25000000
2020-08-19 16:00:00,2.90000000,2.94910000,2.72000000,392959.28000000
2020-08-19 17:00:00,2.80270000,2.90650000,2.79180000,198732.77000000
2020-08-19 18:00:00,2.89910000,3.00780000,2.88170000,213537.92000000
2020-08-19 19:00:00,2.99970000,3.03500000,2.93330000,286635.99000000
2020-08-19 20:00:00,2.93510000,2.98680000,2.90010000,182433.74000000
2020-08-19 21:00:00,2.94490000,2.99900000,2.85940000,262916.69000000
2020-08-19 22:00:00,2.88190000,2.91990000,2.85000000,241812.63000000
2020-08-19 23:00:00,2.90010000,2.91050000,2.72000000,596815.47000000
2020-08-20 00:00:00,2.75750000,2.82000000,2.71500000,314506.90000000
2020-08-20 01:00:00,2.75000000,2.80000000,2.72050000,271646.39000000
2020-08-20 02:00:00,2.75310000,2.77440000,2.67590000,291642.29000000
2020-08-20 03:00:00,2.73450000,2.78540000,2.68330000,261773.52000000
2020-08-20 04:00:00,2.76620000,2.91500000,2.76620000,394024.68000000
2020-08-20 05:00:00,2.83110000,2.88860000,2.80380000,188996.27000000
2020-08-20 06:00:00,2.84230000,2.89650000,2.83130000,172986.32000000
2020-08-20 07:00:00,2.84540000,2.86000000,2.78030000,537375.77000000
2020-08-20 08:00:00,2.84990000,2.89500000,2.84410000,409575.36000000
2020-08-20 09:00:00,2.87150000,2.93980000,2.85000000,439185.79000000
2020-08-20 10:00:00,2.85620000,2.88270000,2.81330000,230770.04000000
2020-08-20 11:00:00,2.83510000,2.87190000,2.80000000,302249.65000000
2020-08-20 12:00:00,2.87070000,3.03000000,2.85470000,832567.64000000
2020-08-20 13:00:00,3.00720000,3.11110000,2.98350000,701312.17000000
2020-08-20 14:00:00,3.05020000,3.10000000,2.99010000,410177.89000000
2020-08-20 15:00:00,3.02890000,3.02900000,2.86000000,544690.31000000
2020-08-20 16:00:00,2.87030000,2.91690000,2.82000000,719112.74000000
2020-08-20 17:00:00,2.88320000,2.89250000,2.81000000,399841.09000000
